2025-11-14 23:21:47,337 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-15 00:07:51,755 | INFO | app | Saved Grad-CAM overlay to uploads\0ad78927f7e7458583f99cb38daf8795_heat.jpg
2025-11-15 00:07:51,966 | INFO | app | Generated PDF report: uploads\0ad78927f7e7458583f99cb38daf8795_report.pdf
2025-11-15 00:07:51,966 | INFO | app | Generated PDF report: uploads\0ad78927f7e7458583f99cb38daf8795_report.pdf
2025-11-15 00:07:51,969 | INFO | werkzeug | 127.0.0.1 - - [15/Nov/2025 00:07:51] "POST /predict/ HTTP/1.1" 200 -
2025-11-15 00:08:42,571 | INFO | app | Received prediction request
2025-11-15 00:08:42,571 | INFO | app | Received prediction request
2025-11-15 00:08:42,576 | INFO | app | Saved upload to uploads\4df7833bddac4128829d9ac9a65e2355.jpg
2025-11-15 00:08:42,576 | INFO | app | Saved upload to uploads\4df7833bddac4128829d9ac9a65e2355.jpg
2025-11-15 00:08:42,694 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:08:42,694 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:08:42,939 | INFO | app | Saved Grad-CAM overlay to uploads\4df7833bddac4128829d9ac9a65e2355_heat.jpg
2025-11-15 00:08:42,939 | INFO | app | Saved Grad-CAM overlay to uploads\4df7833bddac4128829d9ac9a65e2355_heat.jpg
2025-11-15 00:08:43,117 | INFO | app | Generated PDF report: uploads\4df7833bddac4128829d9ac9a65e2355_report.pdf
2025-11-15 00:08:43,117 | INFO | app | Generated PDF report: uploads\4df7833bddac4128829d9ac9a65e2355_report.pdf
2025-11-15 00:08:43,120 | INFO | werkzeug | 127.0.0.1 - - [15/Nov/2025 00:08:43] "POST /predict/ HTTP/1.1" 200 -
2025-11-15 00:08:47,599 | INFO | app | Received prediction request
2025-11-15 00:08:47,599 | INFO | app | Received prediction request
2025-11-15 00:08:47,606 | INFO | app | Saved upload to uploads\50d11fde77d24368aa8f356711ac6e2b.jpg
2025-11-15 00:08:47,606 | INFO | app | Saved upload to uploads\50d11fde77d24368aa8f356711ac6e2b.jpg
2025-11-15 00:08:47,725 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:08:47,725 | INFO | app | Model prediction: {'label': 'Alzheimer', 'index': 2, 'probabilities': [0.01028352975845337, 0.007545586209744215, 0.9821709394454956]}
2025-11-15 00:08:47,929 | INFO | app | Saved Grad-CAM overlay to uploads\50d11fde77d24368aa8f356711ac6e2b_heat.jpg
2025-11-15 00:08:47,929 | INFO | app | Saved Grad-CAM overlay to uploads\50d11fde77d24368aa8f356711ac6e2b_heat.jpg
2025-11-15 00:08:48,109 | INFO | app | Generated PDF report: uploads\50d11fde77d24368aa8f356711ac6e2b_report.pdf
2025-11-15 00:08:48,109 | INFO | app | Generated PDF report: uploads\50d11fde77d24368aa8f356711ac6e2b_report.pdf
2025-11-15 00:08:48,111 | INFO | werkzeug | 127.0.0.1 - - [15/Nov/2025 00:08:48] "POST /predict/ HTTP/1.1" 200 -
2025-11-15 00:26:52,289 | INFO | werkzeug |  * Detected change in 'D:\\AQUIB DARAIN\\projects_others\\New folder\\alzheimers-project\\test_explain_report.py', reloading
2025-11-15 00:26:53,468 | INFO | werkzeug |  * Restarting with stat
2025-11-15 00:26:54,129 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-15 00:26:54,129 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-15 00:27:01,183 | INFO | app | Application created and blueprints registered
2025-11-15 00:27:01,183 | INFO | app | Application created and blueprints registered
2025-11-15 00:27:01,210 | WARNING | werkzeug |  * Debugger is active!
2025-11-15 00:27:01,214 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 11:48:23,137 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:48:23,137 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:48:34,761 | INFO | app | Application created and blueprints registered
2025-11-16 11:48:34,761 | INFO | app | Application created and blueprints registered
2025-11-16 11:48:34,862 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.103:5000
2025-11-16 11:48:34,862 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2025-11-16 11:48:34,866 | INFO | werkzeug |  * Restarting with stat
2025-11-16 11:48:35,506 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:48:35,506 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:48:41,899 | INFO | app | Application created and blueprints registered
2025-11-16 11:48:41,899 | INFO | app | Application created and blueprints registered
2025-11-16 11:48:41,926 | WARNING | werkzeug |  * Debugger is active!
2025-11-16 11:48:41,969 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 11:50:34,837 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:50:34] "[31m[1mPOST / HTTP/1.1[0m" 405 -
2025-11-16 11:51:03,329 | INFO | app | Health endpoint hit
2025-11-16 11:51:03,329 | INFO | app | Health endpoint hit
2025-11-16 11:51:03,330 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:51:03] "GET / HTTP/1.1" 200 -
2025-11-16 11:51:11,282 | INFO | werkzeug |  * Detected change in 'D:\\AQUIB DARAIN\\projects_others\\New folder\\alzheimers-project\\routes\\health.py', reloading
2025-11-16 11:51:12,543 | INFO | werkzeug |  * Restarting with stat
2025-11-16 11:51:13,188 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:13,188 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:20,182 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:20,182 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:20,207 | WARNING | werkzeug |  * Debugger is active!
2025-11-16 11:51:20,212 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 11:51:20,234 | INFO | app | Health endpoint hit
2025-11-16 11:51:20,234 | INFO | app | Health endpoint hit
2025-11-16 11:51:20,235 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:51:20] "GET /health HTTP/1.1" 200 -
2025-11-16 11:51:28,085 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:28,085 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:35,250 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:35,250 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:35,303 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.103:5000
2025-11-16 11:51:35,304 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2025-11-16 11:51:35,308 | INFO | werkzeug |  * Restarting with stat
2025-11-16 11:51:35,961 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:35,961 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:51:42,450 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:42,450 | INFO | app | Application created and blueprints registered
2025-11-16 11:51:42,483 | WARNING | werkzeug |  * Debugger is active!
2025-11-16 11:51:42,488 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 11:51:42,512 | INFO | app | Health endpoint hit
2025-11-16 11:51:42,512 | INFO | app | Health endpoint hit
2025-11-16 11:51:42,514 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:51:42] "GET /health HTTP/1.1" 200 -
2025-11-16 11:52:29,544 | INFO | app | Health endpoint hit
2025-11-16 11:52:29,544 | INFO | app | Health endpoint hit
2025-11-16 11:52:29,545 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:52:29] "GET /health HTTP/1.1" 200 -
2025-11-16 11:52:35,051 | INFO | werkzeug |  * Detected change in 'D:\\AQUIB DARAIN\\projects_others\\New folder\\alzheimers-project\\routes\\health.py', reloading
2025-11-16 11:52:36,489 | INFO | werkzeug |  * Restarting with stat
2025-11-16 11:52:37,325 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:52:37,325 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 11:52:44,174 | INFO | app | Application created and blueprints registered
2025-11-16 11:52:44,174 | INFO | app | Application created and blueprints registered
2025-11-16 11:52:44,204 | WARNING | werkzeug |  * Debugger is active!
2025-11-16 11:52:44,209 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 11:53:55,245 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:53:55] "[31m[1mGET /predict/ HTTP/1.1[0m" 405 -
2025-11-16 11:54:03,850 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:54:03] "[33mGET /predict HTTP/1.1[0m" 404 -
2025-11-16 11:58:47,273 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:58:47] "[31m[1mGET /predict/ HTTP/1.1[0m" 405 -
2025-11-16 11:58:55,460 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:58:55] "[31m[1mGET /predict/ HTTP/1.1[0m" 405 -
2025-11-16 11:59:11,468 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:59:11] "[31m[1mGET /predict/ HTTP/1.1[0m" 405 -
2025-11-16 11:59:49,363 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 11:59:49] "GET /predict/heat/a9b2e1b9c6a04059beefb0c170f80020_heat.jpg HTTP/1.1" 200 -
2025-11-16 12:01:17,272 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:01:17] "GET /predict/heat/0ad78927f7e7458583f99cb38daf8795_report.pdf HTTP/1.1" 200 -
2025-11-16 12:06:55,133 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:06:55] "GET /predict/heat/a9b2e1b9c6a04059beefb0c170f80020_heat.jpg HTTP/1.1" 200 -
2025-11-16 12:07:14,713 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:07:14] "GET /predict/report/a9b2e1b9c6a04059beefb0c170f80020_report.pdf HTTP/1.1" 200 -
2025-11-16 12:08:39,612 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:08:39] "[31m[1mGET /predict/ HTTP/1.1[0m" 405 -
2025-11-16 12:16:23,378 | INFO | werkzeug |  * Detected change in 'D:\\AQUIB DARAIN\\projects_others\\New folder\\alzheimers-project\\routes\\predict.py', reloading
2025-11-16 12:16:24,348 | INFO | werkzeug |  * Restarting with stat
2025-11-16 12:16:26,099 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 12:16:26,099 | INFO | app | Logging initialized (level=INFO) - log file: logs\service.log
2025-11-16 12:16:37,070 | INFO | app | Application created and blueprints registered
2025-11-16 12:16:37,070 | INFO | app | Application created and blueprints registered
2025-11-16 12:16:37,106 | WARNING | werkzeug |  * Debugger is active!
2025-11-16 12:16:37,110 | INFO | werkzeug |  * Debugger PIN: 602-377-826
2025-11-16 12:17:08,489 | INFO | app | Predict info endpoint called
2025-11-16 12:17:08,489 | INFO | app | Predict info endpoint called
2025-11-16 12:17:08,492 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:17:08] "GET /predict/ HTTP/1.1" 200 -
2025-11-16 12:17:19,345 | INFO | app | Predict info endpoint called
2025-11-16 12:17:19,345 | INFO | app | Predict info endpoint called
2025-11-16 12:17:19,347 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:17:19] "GET /predict/ HTTP/1.1" 200 -
2025-11-16 12:22:33,773 | INFO | app | Predict info endpoint called
2025-11-16 12:22:33,773 | INFO | app | Predict info endpoint called
2025-11-16 12:22:33,775 | INFO | werkzeug | 127.0.0.1 - - [16/Nov/2025 12:22:33] "GET /predict/ HTTP/1.1" 200 -
